"REF_DATE","GEO","DGUID","Fuel type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2017-04","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2017-07","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2017-10","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2018-04","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2018-07","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2018-10","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2019-01","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719105","2.4.1.1","","..","","","0"
